idx, x, y
0, -0.657496, -2.502767
0, -0.649042, -2.522405
0, -0.640417, -2.541968
0, -0.631622, -2.561456
0, -0.667957, -2.602029
0, -0.658636, -2.621755
0, -0.649144, -2.641398
0, -0.639481, -2.660958
0, -0.585113, -2.657701
0, -0.619644, -2.699820
0, -0.609472, -2.719120
0, -0.599132, -2.738331
0, -0.588625, -2.757451
0, -0.577951, -2.776478
0, -0.609529, -2.819942
0, -0.598310, -2.839149
1, 2.384588, -4.282886
1, 2.379990, -4.180048
1, 2.388312, -4.125310
1, 2.380670, -4.022957
1, 2.386479, -3.967532
1, 2.407599, -3.960550
1, 2.428658, -3.953385
1, 2.449653, -3.946036
1, 2.470583, -3.938505
1, 2.509342, -3.978548
2, 5.614414, -2.768929
2, 5.577001, -2.719659
2, 5.587110, -2.684883
2, 5.693297, -2.676675
2, 5.847944, -2.679604
